gene,cell_type,source,source_version
PHF21B,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
BORCS8-MEF2B,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
CTNNA2,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
PHKA1,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
FGFR3,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
EVC,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
ANO8,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
SLC1A3,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
CARMIL1,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
SLC4A4,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
COL5A3,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
TRPM3,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
PRODH,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
MLC1,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
PAPLN,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
ACSBG1,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
EYA1,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
TRPS1,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
RASA4,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
GLI3,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
GLIS3,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
LGI1,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
KAT2A,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
SLC1A2,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
ACSS3,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
RFX4,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
PARD3B,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
DOCK7,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
TAS2R7,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
PLCG1,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
ATP13A4,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
MACF1,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
